Cluster,FastestLap,AvgLapTime,StdDevLapTime,TotalLaps,Jumlah_Pembalap
0,93.94828571428572,99.48275199817759,2.1198447397109854,151.14285714285714,7
1,96.255,101.62115392156863,2.172052155123751,70.5,2
2,92.89157142857142,98.06654847511207,1.7054751760727076,193.28571428571428,7
3,94.58800000000001,100.3997337719024,1.6648564706076057,178.66666666666666,6
